NTAName_y,Total,"White, not hispanic","Black or African American, not hispanic","American Indian and Alaska Native, not hispanic","Asain, not hispanic","Native Hawaiian and Other Pacific Islander, not hispanic","Some other race alone, not hispanic","Two or More Races, not hispanic",Hispanic or Latino
Old Astoria-Hallets Point,79531,43.248544592674556,11.95885880977229,0.13831084734254567,7.077743269919906,0.09807496447925966,0.22255472708755078,2.9824848172410756,34.27342797148282
Ozone Park,77290,42.27843187993272,8.734635787294605,0.023288911890283346,17.8988226161211,0.024582740328632426,1.7130288523741752,3.213869840859102,26.11333937119938
Ozone Park (North),104096,37.566284967722105,8.48927912695973,0.08645865355056871,21.655971411005225,0.01248847217952659,0.6532431601598524,2.6744543498309254,28.86181985859207
Park Slope,187375,52.60733822548366,10.940627084723149,0.1296864576384256,9.456971314209472,0.02828552368245497,0.5448965977318212,3.1146097398265513,23.17758505670447
Parkchester,50402,13.959763501448355,31.429308360779334,0.6110868616324749,20.203563350660687,0.0,1.5356533470894012,1.458275465259315,30.802349113130433
Pelham Bay Park,7085,15.723359209597742,38.53211009174312,0.3669724770642202,19.91531404375441,0.0,1.8489767113620326,3.5991531404375445,20.014114326040932
Pelham Bay-Country Club-City Island,36670,38.48650122716117,12.87428415598582,0.04090537223888738,8.775565857649305,0.0,0.7826561221707117,2.0779929097354786,36.96209435505863
Pelham Gardens,42237,23.74695172479106,28.233539313871724,0.06155740227762388,11.032980562066435,0.0,0.5587518052892014,2.6398655207519472,33.72635367095201
Pelham Parkway-Van Nest,113641,30.0938921691995,25.11769519803592,0.14959389656902,10.322858827359843,0.02815885111887435,1.121074260170185,2.074075377724589,31.09265141982207
Pomonok-Electchester-Hillcrest,35282,26.0359390057253,12.218695085312623,0.019840145116489995,31.40411541295845,0.05952043534946999,0.1898985318292614,3.673261152995862,26.398730230712548
Port Richmond,46810,19.16470839564196,29.01944029053621,0.260628070925016,7.981200598162785,0.0,0.6643879512924589,2.108523819696646,40.801110873744925
Prospect Heights,61618,50.822811516115415,16.404297445551624,0.12171767989873089,8.635463663215294,0.008114511993248726,0.20286279983121816,3.6109578369956834,20.193774546398778
